id;userid_list;task_id;time;rsp_msg;status;progress_in_percent;sub_task_status;invalid_user_id_list;forbidden_user_id_list;failed_user_id_list;read_user_id_list;unread_user_id_list;invalid_dept_id_list;withdraw
1;hard drive Central Kuwaiti Dinar;35840;2020-11-06T01:57:28;National Auto Loan Account;14242;47596;SentSuccessfully;Designer high-level Seychelles;Guinea;1080p B2C;Home Loan Account;transition Credit Card Account;Investor;false
2;implement yellow;96255;2020-11-05T06:16:39;Cote d'Ivoire;63046;28388;Withdraw;user-facing;green Adaptive;red Mission;Liaison;Handcrafted bricks-and-clicks;Brooks Alaska Handcrafted Soft Shoes;true
3;Strategist;56124;2020-11-05T15:40:15;success USB;37140;10327;Withdraw;Incredible North Dakota;Creek;Shirt Baht;Holy See (Vatican City State) generating Rustic Steel Hat;port;Pants Fantastic Fresh Fish IB;false
4;input Nakfa;16982;2020-11-06T02:53:49;Tasty;34726;580;SentSuccessfully;Illinois Pa'anga;feed Consultant;Frozen;Bedfordshire indigo Assistant;hard drive;parse Supervisor;false
5;Kazakhstan Hong Kong matrix;91494;2020-11-05T11:23:49;copy systemic;83954;72996;SentSuccessfully;Buckinghamshire compressing Fully-configurable;infomediaries;Auto Loan Account Advanced;Generic Table Minnesota;software feed Steel;Berkshire;true
6;Nevada United Kingdom;30837;2020-11-05T11:51:23;SMS withdrawal;41220;30295;Withdraw;back-end;Netherlands Antillian Guilder;Internal Assistant;synthesize real-time solutions;feed access;Checking Account Polarised Rustic;true
7;indigo Jamaican Dollar XML;29082;2020-11-05T11:55:19;hack Meadows withdrawal;47261;28425;Sending;Indiana;Benin Applications;Representative killer Buckinghamshire;algorithm;National backing up;Computers Lao People's Democratic Republic Berkshire;false
8;Toys Somali Shilling Bacon;8433;2020-11-05T16:43:14;CSS;26244;33469;Withdraw;Gorgeous Concrete Towels Marketing;Cambridgeshire;Awesome;Utah green;scalable;interface functionalities;true
9;Rial Omani;30379;2020-11-05T17:45:36;Checking Account markets ubiquitous;30318;81626;Withdraw;RSS;copying;empower Brooks;Creative Squares sexy;parse Mountain;Planner parallelism heuristic;false
10;Bike Texas Hong Kong Dollar;97253;2020-11-05T18:58:42;Borders Codes specifically reserved for testing purposes Valleys;81021;87683;Sending;digital;Keyboard Investment Account;system engine withdrawal Manager;input Guadeloupe Personal Loan Account;cross-platform Future Papua New Guinea;Avon 24/7;false
